eventID,place,city,geoCoordinates,startEndDates,name,draws,type,prizeMoney
T2009_1536,Spain,"Madrid, Spain","469, 545.125",11.05.2009-17.05.2009,"Mutua Madrid Open",64,Clay,"Ç2,835,000"
T2010_1536,Spain,"Madrid, Spain","469, 545.125",10.05.2010-16.05.2010,"Mutua Madrid Open",64,Clay,"Ç2,835,000"
T2011_1536,Spain,"Madrid, Spain","469, 545.125",02.05.2011-08.05.2011,"Mutua Madrid Open",64,Clay,"Ç2,835,000"
T2012_1536,Spain,"Madrid, Spain","469, 545.125",07.05.2012-13.05.2012,"Mutua Madrid Open",64,Clay,"Ç3,090,150"
T2013_1536,Spain,"Madrid, Spain","469, 545.125",06.05.2013-12.05.2013,"Mutua Madrid Open",64,Clay,"€3,368,265"
T2009_1720,Thailand,"Bangkok, Thailand","748, 627.125",28.09.2009-04.10.2009,"PTT Thailand Open",32,Hard,"$551,000"
T2010_1720,Thailand,"Bangkok, Thailand","748, 627.125",27.09.2010-03.10.2010,"Thailand Open",32,Hard,"$551,000"
T2011_1720,Thailand,"Bangkok, Thailand","748, 627.125",26.09.2011-02.10.2011,"PTT Thailand Open",32,Hard,"$587,000"
T2012_1720,Thailand,"Bangkok, Thailand","748, 627.125",24.09.2012-30.09.2012,"Thailand Open",32,Hard,"$551,000"
T2013_1720,Thailand,"Bangkok, Thailand","748, 627.125",23.09.2013-29.09.2013,"Thailand Open",32,Hard,"$567,530"
T2009_2276,Croatia,"Zagreb, Croatia","523, 526.125",02.02.2009-08.02.2009,"PBZ Zagreb Indoors",32,Hard,"Ç398,250"
T2010_2276,Croatia,"Zagreb, Croatia","523, 526.125",01.02.2010-07.02.2010,"PBZ Zagreb Indoors",32,Hard,"Ç398,250"
T2011_2276,Croatia,"Zagreb, Croatia","523, 526.125",31.01.2011-06.02.2011,"PBZ Zagreb Indoors",32,Hard,"Ç398,250"
T2012_2276,Croatia,"Zagreb, Croatia","523, 526.125",30.01.2012-05.02.2012,"PBZ Zagreb Indoors",32,Hard,"Ç398,250"
T2013_2276,Croatia,"Zagreb, Croatia","523, 526.125",04.02.2013-10.02.2013,"PBZ Zagreb Indoors",32,Hard,"€410,200"
T2009_301,"New Zealand","Auckland, New Zealand","946, 766.125",12.01.2009-18.01.2009,"Heineken Open",32,Hard,"$429,000"
T2010_301,"New Zealand","Auckland, New Zealand","946, 766.125",11.01.2010-17.01.2010,"Heineken Open",32,Hard,"$355,500"
T2011_301,"New Zealand","Auckland, New Zealand","946, 766.125",10.01.2011-16.01.2011,"Heineken Open",32,Hard,"$398,250"
T2012_301,"New Zealand","Auckland, New Zealand","946, 766.125",09.01.2012-15.01.2012,"Heineken Open",32,Hard,"$398,250"
T2013_301,"New Zealand","Auckland, New Zealand","946, 766.125",07.01.2013-13.01.2013,"Heineken Open",32,Hard,"$433,400"
T2014_301,"New Zealand","Auckland, New Zealand","946, 766.125",06.01.2014-12.01.2014,"Heineken Open",32,Hard,"$455,190"
T2009_306,Austria,"Kitzbuehel, Austria","513, 518.125",18.05.2009-24.05.2009,"Interwetten Austrian Open Kitzbnhel",32,Clay,"Ç398,250"
T2009_308,Germany,"Munich, Germany","511, 514.125",04.05.2009-10.05.2009,"BMW Open by FWU AG",32,Clay,"Ç398,250"
