city,x,y
"'s-Hertogenbosch, The Netherlands",51.697816,5.303675
"Acapulco, Mexico",16.863794,-99.881614
"Atlanta, USA",33.748995,-84.387982
"Auckland, New Zealand",-36.848460,174.763332
"Bangkok, Thailand",13.727896,100.524123
"Barcelona, Spain",41.385064,2.173403
"Basel, Switzerland",47.557421,7.592573
"Bastad Sweden",56.427389,12.847722
"Beijing, China",39.904030,116.407526
"Belgrade, Serbia",44.820556,20.462222
"Bogota, Colombia",4.598056,-74.075833
"Brisbane, Australia",-27.471011,153.023449
"Bucharest, Romania",44.432500,26.103889
"Buenos Aires, Argentina",-34.603723,-58.381593
"Doha Qatar",25.280282,51.522476
"Casablanca Morocco",33.533333,-7.583333
"Halle, Germany",51.496980,11.968803
"Cincinnati, USA",39.103118,-84.512020
"Chennai, India",13.052414,80.250825
"Gstaad, Switzerland",46.476030,7.284270
"Delray Beach, USA",26.461462,-80.072820
"Dubai, UAE",25.271139,55.307485
"Dusseldorf, Germany",51.227741,6.773456
"Kitzbuhel Austria",47.444990,12.391430
"Eastbourne, Great Britain",50.768035,0.290472
"Hamburg, Germany",53.551085,9.993682
"Los Angeles, USA",34.052234,-118.243685
"Houston, USA",29.760193,-95.369390
"Indian Wells, USA",33.717631,-116.340755
"Memphis, USA",35.149534,-90.048980
"Indianapolis, USA",39.768403,-86.158068
"Kitzbuehel, Austria",47.444990,12.391430
"Monte-Carlo, Monaco",43.739722,7.427222
"Kuala Lumpur, Malaysian",3.139003,101.686855
"Montreal, Canada",45.508670,-73.553992
"London, Great Britain",51.508515,-0.125487
"Madrid, Spain",40.416775,-3.703790
"Munich, Germany",48.135125,11.581981
"Marseille, France",43.296482,5.369780
"Moscow, Russia",55.755826,37.617300
"Melbourne, Australia",-37.814107,144.963280
"Metz, France",49.119666,6.176905
"Miami, USA",25.788969,-80.226439
"Montecasino",27.483869,-109.986363
"Montpellier, France",43.610769,3.876716
"New Haven, USA",41.308274,-72.927884
"New York, USA",40.714353,-74.005973
"Newport, RI, USA",41.490102,-71.312829
"Nice, France",43.696036,7.265592
"Oeiras Portugal",38.695903,-9.311617
"Paris, France",48.856614,2.352222
"Rome, Italy",41.892916,12.482520
"Rotterdam, the NetherLands",51.924216,4.481776
"San Jose, USA",37.339386,-121.894955
"Sao Paulo, Brazil",-23.550520,-46.633309
"St. Petersburg, Russia",59.934280,30.335099
"Shanghai, China",31.230416,121.473701
"Stockholm, Sweden",59.328930,18.064910
"Stuttgart, Germany",48.775418,9.181759
"Sydney, Austria",-33.867487,151.206990
"Tokyo, Japan",35.689487,139.691706
"Toronto, Canada",43.653226,-79.383184
"Umag, Croatia",45.437206,13.525721
"Valencia,Spain",39.469907,-0.376288
"Vienna, Austria",48.208174,16.373819
"Vina del Mar, Chile",-33.024527,-71.552340
"Washington D.C., USA",38.907231,-77.036464
"Winston Salem, USA",36.099860,-80.244216
"Zagreb, Croatia",45.813029,15.977895
