id,name,age,birthplace,residence,height,weight,plays,turned,coach
P596,"Gerry Perry","66 (01.06.1947)","Springfield, MO, USA",,"5'6\" (168 cm)","150 lbs (68 kg)","Unknown",,
P624,"Philipp Petzschner","29 (24.03.1984)","Bayreuth, Germany","Pulheim, Germany","6'1\" (185 cm)","170 lbs (77 kg)","Right-handed","2001","Stefan Eriksson"
Z272,"Ze Zhang","23 (04.07.1990)","Nanjing, China","Nanjing, China","6'2\" (188 cm)","183 lbs (83 kg)","Right-handed","2005","Guillaume Peyre"
P057,"Mel Purcell","54 (18.07.1959)","Joplin, MO, U.S.A.",,"5'10\" (178 cm)","155 lbs (70 kg)","Right-handed",,
K512,"Ivo Klec","33 (28.11.1980)","Bratislava, Slovakia","Bratislava, Slovakia","6' (183 cm)","174 lbs (79 kg)","Right-handed","1999","Alexander Klec & Alexander Jr."
P208,"Bent-Ove Pedersen","46 (11.07.1967)","Oslo, Norway","Oslo, Norway","6'1\" (185 cm)","170 lbs (77 kg)","Right-handed","1992",
K025,"Marc Krippendorf",,,,,,"Right-handed",,
B046,"Stanislav Birner","57 (11.10.1956)","Karlovy Vary, Czechoslovakia",,"5'7\" (170 cm)","145 lbs (66 kg)","Right-handed",,
MA49,"Rui Machado","29 (10.04.1984)","Faro, Portugal","Lisbon, Portugal","5'10\" (178 cm)","143 lbs (65 kg)","Right-handed","2002","Andre Lopes"
MD25,"Dennis Matthews","63 (23.11.1950)",,,,,"Unknown",,
D007,"John Davis","51 (18.05.1962)","Santa Monica, CA, USA",,,,"Right-handed",,
D330,"Alessio Di Mauro","36 (09.08.1977)","Siracusa, Italy","Siracusa, Italy","6'1\" (185 cm)","156 lbs (71 kg)","Left-handed","1998","Fabio Rizzo"
K071,"Doug King",,,,,,"Right-handed",,
BC72,"Daniel Brands","26 (17.07.1987)","Deggendorf, Germany","Bogen, Germany","6'5\" (196 cm)","203 lbs (92 kg)","Right-handed","2005","Klaus Langenbach"
L430,"Giovanni Lapentti","31 (25.01.1983)","Guayaquil, Ecuador","Guayaquil/Miami, Florida, USA","6'4\" (193 cm)","201 lbs (91 kg)","Right-handed","2002","Gabriel Markus"
C478,"Agustin Calleri","37 (14.09.1976)","Rio Cuarto, Argentina","Buenos Aires, Argentina","6' (183 cm)","190 lbs (86 kg)","Right-handed","1995",
K020,"Edson Krause",,,,,,"Right-handed",,
